Border,Date,Measure,Value,Average
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,12388647,14020101
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,6327597,6531022
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,4319416,3698446
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,3878052,5509460
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2005044,2637816
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,469397,400444
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,410534,510170
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,321593,254785
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,277418,382028
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,174518,109458
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,163284,243361
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,147782,141181
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,136378,88599
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,90296,266015
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,58295,44403
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,52383,31634
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,40776,28180
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20703,46606
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,14129,19482
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,12838,21295
US-Canada Border,12/01/2018 12:00:00 AM,Buses,4082,11074
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1996,2510
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,970,729
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,870,1031
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,12939220,14023962
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicles,6604570,6530759
US-Mexico Border,12/01/2017 12:00:00 AM,Pedestrians,4084983,3697065
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,3918120,5515143
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicles,2033658,2639974
US-Mexico Border,12/01/2017 12:00:00 AM,Trucks,465722,400211
US-Canada Border,12/01/2017 12:00:00 AM,Trucks,415723,510507
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Full,320329,254551
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Full,303972,382306
US-Mexico Border,12/01/2017 12:00:00 AM,Bus Passengers,153202,243683
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Full,144333,109333
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Empty,142113,141178
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Empty,119996,88487
US-Canada Border,12/01/2017 12:00:00 AM,Bus Passengers,101295,266603
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Empty,58486,44353
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Empty,43734,31591
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Full,39599,28139
US-Canada Border,12/01/2017 12:00:00 AM,Pedestrians,16585,46714
US-Mexico Border,12/01/2017 12:00:00 AM,Buses,14483,19500
US-Canada Border,12/01/2017 12:00:00 AM,Train Passengers,13308,21324
US-Canada Border,12/01/2017 12:00:00 AM,Buses,4199,11098
US-Canada Border,12/01/2017 12:00:00 AM,Trains,1778,2512
US-Mexico Border,12/01/2017 12:00:00 AM,Train Passengers,1011,1031
US-Mexico Border,12/01/2017 12:00:00 AM,Trains,918,728
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,12651731,14028880
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicles,6538225,6530733
US-Mexico Border,12/01/2016 12:00:00 AM,Pedestrians,3742732,3696902
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,3661312,5521788
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicles,2001120,2642264
US-Mexico Border,12/01/2016 12:00:00 AM,Trucks,471027,399957
US-Canada Border,12/01/2016 12:00:00 AM,Trucks,429874,510796
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Full,340124,382458
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Full,315173,254333
US-Mexico Border,12/01/2016 12:00:00 AM,Bus Passengers,156361,243996
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Empty,153526,141133
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Full,128793,109263
US-Canada Border,12/01/2016 12:00:00 AM,Bus Passengers,104876,267182
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Empty,82752,88507
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Empty,48508,44338
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Full,40121,28096
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Empty,38259,31567
US-Mexico Border,12/01/2016 12:00:00 AM,Buses,16056,19512
US-Canada Border,12/01/2016 12:00:00 AM,Train Passengers,15120,21346
US-Canada Border,12/01/2016 12:00:00 AM,Pedestrians,14316,46830
US-Canada Border,12/01/2016 12:00:00 AM,Buses,4707,11121
US-Canada Border,12/01/2016 12:00:00 AM,Trains,2431,2513
US-Mexico Border,12/01/2016 12:00:00 AM,Train Passengers,928,1031
US-Mexico Border,12/01/2016 12:00:00 AM,Trains,857,728
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,12663151,14033793
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicles,6554035,6530649
US-Mexico Border,12/01/2015 12:00:00 AM,Pedestrians,3806503,3696507
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,3753777,5528148
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicles,2051559,2644389
US-Canada Border,12/01/2015 12:00:00 AM,Trucks,443072,511040
US-Mexico Border,12/01/2015 12:00:00 AM,Trucks,439833,399814
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Full,321599,382676
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Full,302522,254160
US-Mexico Border,12/01/2015 12:00:00 AM,Bus Passengers,222809,244073
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Empty,133821,141160
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Full,129075,109192
US-Canada Border,12/01/2015 12:00:00 AM,Bus Passengers,109880,267748
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Empty,81862,88531
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Empty,49783,44318
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Full,39311,28056
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Empty,39153,31540
US-Mexico Border,12/01/2015 12:00:00 AM,Buses,19011,19514
US-Canada Border,12/01/2015 12:00:00 AM,Pedestrians,18664,46931
US-Canada Border,12/01/2015 12:00:00 AM,Train Passengers,14133,21372
US-Canada Border,12/01/2015 12:00:00 AM,Buses,5297,11142
US-Canada Border,12/01/2015 12:00:00 AM,Trains,2426,2513
US-Mexico Border,12/01/2015 12:00:00 AM,Train Passengers,979,1031
US-Mexico Border,12/01/2015 12:00:00 AM,Trains,844,727
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,12207554,14040386
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicles,6329766,6531374
US-Canada Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,4458925,5532008
US-Mexico Border,12/01/2014 12:00:00 AM,Pedestrians,3815655,3696077
US-Canada Border,12/01/2014 12:00:00 AM,Personal Vehicles,2406075,2645249
US-Canada Border,12/01/2014 12:00:00 AM,Trucks,445798,511275
US-Mexico Border,12/01/2014 12:00:00 AM,Trucks,431463,399699
US-Canada Border,12/01/2014 12:00:00 AM,Truck Containers Full,311052,382935
US-Mexico Border,12/01/2014 12:00:00 AM,Truck Containers Full,269057,254106
US-Mexico Border,12/01/2014 12:00:00 AM,Bus Passengers,244142,244072
US-Canada Border,12/01/2014 12:00:00 AM,Rail Containers Full,135873,109096
US-Canada Border,12/01/2014 12:00:00 AM,Bus Passengers,125678,268261
US-Mexico Border,12/01/2014 12:00:00 AM,Truck Containers Empty,103650,141295
US-Canada Border,12/01/2014 12:00:00 AM,Truck Containers Empty,100925,88486
US-Canada Border,12/01/2014 12:00:00 AM,Rail Containers Empty,61100,44258
US-Mexico Border,12/01/2014 12:00:00 AM,Rail Containers Empty,37996,31517
US-Mexico Border,12/01/2014 12:00:00 AM,Rail Containers Full,36430,28026
US-Canada Border,12/01/2014 12:00:00 AM,Pedestrians,19935,47028
US-Mexico Border,12/01/2014 12:00:00 AM,Buses,18883,19516
US-Canada Border,12/01/2014 12:00:00 AM,Train Passengers,15318,21394
US-Canada Border,12/01/2014 12:00:00 AM,Buses,5782,11162
US-Canada Border,12/01/2014 12:00:00 AM,Trains,2268,2514
US-Mexico Border,12/01/2014 12:00:00 AM,Train Passengers,884,1032
US-Mexico Border,12/01/2014 12:00:00 AM,Trains,825,727
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,11710485,14048827
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicles,6000441,6533298
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,4753768,5534827
US-Mexico Border,12/01/2013 12:00:00 AM,Pedestrians,3988323,3695018
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicles,2524328,2645687
US-Canada Border,12/01/2013 12:00:00 AM,Trucks,412866,511632
US-Mexico Border,12/01/2013 12:00:00 AM,Trucks,398636,399703
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Full,300125,383235
US-Mexico Border,12/01/2013 12:00:00 AM,Bus Passengers,254446,244035
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Full,233404,254181
US-Canada Border,12/01/2013 12:00:00 AM,Bus Passengers,142820,268716
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Full,120826,109053
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Empty,91227,141477
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Empty,90710,88478
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Empty,55063,44219
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Empty,34945,31504
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Full,33411,28006
US-Mexico Border,12/01/2013 12:00:00 AM,Buses,18896,19518
US-Canada Border,12/01/2013 12:00:00 AM,Train Passengers,15379,21416
US-Canada Border,12/01/2013 12:00:00 AM,Pedestrians,13847,47149
US-Canada Border,12/01/2013 12:00:00 AM,Buses,6302,11179
US-Canada Border,12/01/2013 12:00:00 AM,Trains,2317,2514
US-Mexico Border,12/01/2013 12:00:00 AM,Trains,779,727
US-Mexico Border,12/01/2013 12:00:00 AM,Train Passengers,291,1035
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,10971293,14060018
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicles,5608850,6536659
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,4847694,5537326
US-Mexico Border,12/01/2012 12:00:00 AM,Pedestrians,3923442,3694188
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicles,2545279,2646052
US-Canada Border,12/01/2012 12:00:00 AM,Trucks,390438,512073
US-Mexico Border,12/01/2012 12:00:00 AM,Trucks,370217,399810
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Full,287570,383583
US-Mexico Border,12/01/2012 12:00:00 AM,Bus Passengers,263620,243964
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Full,252068,254189
US-Canada Border,12/01/2012 12:00:00 AM,Bus Passengers,150095,269147
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Full,119825,109014
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Empty,117512,141564
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Empty,97013,88447
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Empty,55917,44176
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Full,32588,27990
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Empty,30085,31509
US-Mexico Border,12/01/2012 12:00:00 AM,Buses,19805,19517
US-Canada Border,12/01/2012 12:00:00 AM,Pedestrians,16812,47259
US-Canada Border,12/01/2012 12:00:00 AM,Train Passengers,12525,21448
US-Canada Border,12/01/2012 12:00:00 AM,Buses,6354,11197
US-Canada Border,12/01/2012 12:00:00 AM,Trains,2272,2515
US-Mexico Border,12/01/2012 12:00:00 AM,Trains,743,727
US-Mexico Border,12/01/2012 12:00:00 AM,Train Passengers,309,1037
US-Mexico Border,12/01/2011 12:00:00 AM,Personal Vehicle Passengers,10246464,14073937
US-Mexico Border,12/01/2011 12:00:00 AM,Personal Vehicles,5352799,6540980
US-Canada Border,12/01/2011 12:00:00 AM,Personal Vehicle Passengers,4797399,5540026
US-Mexico Border,12/01/2011 12:00:00 AM,Pedestrians,3753452,3693971
US-Canada Border,12/01/2011 12:00:00 AM,Personal Vehicles,2529059,2646479
US-Canada Border,12/01/2011 12:00:00 AM,Trucks,414522,512429
US-Mexico Border,12/01/2011 12:00:00 AM,Trucks,381976,399876
US-Canada Border,12/01/2011 12:00:00 AM,Truck Containers Full,271890,383991
US-Mexico Border,12/01/2011 12:00:00 AM,Bus Passengers,246049,243956
US-Mexico Border,12/01/2011 12:00:00 AM,Truck Containers Full,241312,254236
US-Canada Border,12/01/2011 12:00:00 AM,Bus Passengers,161998,269538
US-Canada Border,12/01/2011 12:00:00 AM,Rail Containers Full,114407,108995
US-Mexico Border,12/01/2011 12:00:00 AM,Truck Containers Empty,113485,141666
US-Canada Border,12/01/2011 12:00:00 AM,Truck Containers Empty,81462,88473
US-Canada Border,12/01/2011 12:00:00 AM,Rail Containers Empty,52520,44146
US-Mexico Border,12/01/2011 12:00:00 AM,Rail Containers Empty,34119,31500
US-Mexico Border,12/01/2011 12:00:00 AM,Rail Containers Full,28990,27986
US-Canada Border,12/01/2011 12:00:00 AM,Pedestrians,23785,47345
US-Mexico Border,12/01/2011 12:00:00 AM,Buses,19293,19518
US-Canada Border,12/01/2011 12:00:00 AM,Train Passengers,15839,21469
US-Canada Border,12/01/2011 12:00:00 AM,Buses,7156,11211
US-Canada Border,12/01/2011 12:00:00 AM,Trains,2314,2516
US-Mexico Border,12/01/2011 12:00:00 AM,Trains,699,727
US-Mexico Border,12/01/2011 12:00:00 AM,Train Passengers,295,1040
US-Mexico Border,12/01/2010 12:00:00 AM,Personal Vehicle Passengers,10335188,14087632
US-Mexico Border,12/01/2010 12:00:00 AM,Personal Vehicles,5498251,6544799
US-Canada Border,12/01/2010 12:00:00 AM,Personal Vehicle Passengers,4286994,5544616
US-Mexico Border,12/01/2010 12:00:00 AM,Pedestrians,3788938,3693624
US-Canada Border,12/01/2010 12:00:00 AM,Personal Vehicles,2285607,2647801
US-Canada Border,12/01/2010 12:00:00 AM,Trucks,402423,512831
US-Mexico Border,12/01/2010 12:00:00 AM,Trucks,376557,399961
US-Canada Border,12/01/2010 12:00:00 AM,Truck Containers Full,302171,384290
US-Mexico Border,12/01/2010 12:00:00 AM,Bus Passengers,272182,243853
US-Mexico Border,12/01/2010 12:00:00 AM,Truck Containers Full,249346,254254
US-Canada Border,12/01/2010 12:00:00 AM,Bus Passengers,140795,270010
US-Mexico Border,12/01/2010 12:00:00 AM,Truck Containers Empty,124954,141727
US-Canada Border,12/01/2010 12:00:00 AM,Rail Containers Full,99136,109031
US-Canada Border,12/01/2010 12:00:00 AM,Truck Containers Empty,83795,88490
US-Canada Border,12/01/2010 12:00:00 AM,Rail Containers Empty,49209,44127
US-Mexico Border,12/01/2010 12:00:00 AM,Rail Containers Empty,29946,31505
US-Mexico Border,12/01/2010 12:00:00 AM,Rail Containers Full,27116,27989
US-Mexico Border,12/01/2010 12:00:00 AM,Buses,19063,19520
US-Canada Border,12/01/2010 12:00:00 AM,Pedestrians,18678,47450
US-Canada Border,12/01/2010 12:00:00 AM,Train Passengers,12641,21501
US-Canada Border,12/01/2010 12:00:00 AM,Buses,7109,11226
US-Canada Border,12/01/2010 12:00:00 AM,Trains,2118,2518
US-Mexico Border,12/01/2010 12:00:00 AM,Trains,619,727
US-Mexico Border,12/01/2010 12:00:00 AM,Train Passengers,224,1043
US-Mexico Border,12/01/2009 12:00:00 AM,Personal Vehicle Passengers,12599702,14093102
US-Mexico Border,12/01/2009 12:00:00 AM,Personal Vehicles,5969740,6546914
US-Canada Border,12/01/2009 12:00:00 AM,Personal Vehicle Passengers,4133937,5549803
US-Mexico Border,12/01/2009 12:00:00 AM,Pedestrians,3708066,3693570
US-Canada Border,12/01/2009 12:00:00 AM,Personal Vehicles,2060769,2649959
US-Canada Border,12/01/2009 12:00:00 AM,Trucks,404280,513231
US-Mexico Border,12/01/2009 12:00:00 AM,Trucks,360126,400107
US-Canada Border,12/01/2009 12:00:00 AM,Truck Containers Full,315798,384542
US-Mexico Border,12/01/2009 12:00:00 AM,Truck Containers Full,234058,254328
US-Mexico Border,12/01/2009 12:00:00 AM,Bus Passengers,217595,243949
US-Canada Border,12/01/2009 12:00:00 AM,Bus Passengers,158215,270421
US-Mexico Border,12/01/2009 12:00:00 AM,Truck Containers Empty,124446,141791
US-Canada Border,12/01/2009 12:00:00 AM,Rail Containers Full,88214,109107
US-Canada Border,12/01/2009 12:00:00 AM,Truck Containers Empty,85845,88500
US-Canada Border,12/01/2009 12:00:00 AM,Rail Containers Empty,39910,44143
US-Mexico Border,12/01/2009 12:00:00 AM,Rail Containers Empty,29556,31513
US-Mexico Border,12/01/2009 12:00:00 AM,Rail Containers Full,23390,28006
US-Mexico Border,12/01/2009 12:00:00 AM,Buses,20151,19517
US-Canada Border,12/01/2009 12:00:00 AM,Pedestrians,16077,47565
US-Canada Border,12/01/2009 12:00:00 AM,Train Passengers,14765,21526
US-Canada Border,12/01/2009 12:00:00 AM,Buses,7306,11241
US-Canada Border,12/01/2009 12:00:00 AM,Trains,1965,2520
US-Mexico Border,12/01/2009 12:00:00 AM,Trains,604,728
US-Mexico Border,12/01/2009 12:00:00 AM,Train Passengers,302,1046
US-Mexico Border,12/01/2008 12:00:00 AM,Personal Vehicle Passengers,13169398,14096510
US-Mexico Border,12/01/2008 12:00:00 AM,Personal Vehicles,6604996,6546699
US-Mexico Border,12/01/2008 12:00:00 AM,Pedestrians,3838082,3693037
US-Canada Border,12/01/2008 12:00:00 AM,Personal Vehicle Passengers,3521642,5557287
US-Canada Border,12/01/2008 12:00:00 AM,Personal Vehicles,1833417,2652972
US-Canada Border,12/01/2008 12:00:00 AM,Trucks,382977,513711
US-Mexico Border,12/01/2008 12:00:00 AM,Trucks,331232,400362
US-Canada Border,12/01/2008 12:00:00 AM,Truck Containers Full,287911,384899
US-Mexico Border,12/01/2008 12:00:00 AM,Bus Passengers,254210,243911
US-Mexico Border,12/01/2008 12:00:00 AM,Truck Containers Full,199659,254530
US-Canada Border,12/01/2008 12:00:00 AM,Bus Passengers,162597,270819
US-Mexico Border,12/01/2008 12:00:00 AM,Truck Containers Empty,129628,141836
US-Canada Border,12/01/2008 12:00:00 AM,Rail Containers Full,81987,109207
US-Canada Border,12/01/2008 12:00:00 AM,Truck Containers Empty,66728,88580
US-Canada Border,12/01/2008 12:00:00 AM,Rail Containers Empty,37471,44167
US-Mexico Border,12/01/2008 12:00:00 AM,Rail Containers Empty,33258,31506
US-Mexico Border,12/01/2008 12:00:00 AM,Rail Containers Full,24485,28019
US-Mexico Border,12/01/2008 12:00:00 AM,Buses,21794,19509
US-Canada Border,12/01/2008 12:00:00 AM,Pedestrians,17334,47677
US-Canada Border,12/01/2008 12:00:00 AM,Train Passengers,7983,21576
US-Canada Border,12/01/2008 12:00:00 AM,Buses,7497,11255
US-Canada Border,12/01/2008 12:00:00 AM,Trains,1835,2522
US-Mexico Border,12/01/2008 12:00:00 AM,Train Passengers,1771,1043
US-Mexico Border,12/01/2008 12:00:00 AM,Trains,751,727
US-Mexico Border,12/01/2007 12:00:00 AM,Personal Vehicle Passengers,14584120,14094704
US-Mexico Border,12/01/2007 12:00:00 AM,Personal Vehicles,7072540,6544752
US-Mexico Border,12/01/2007 12:00:00 AM,Pedestrians,4788991,3688978
US-Canada Border,12/01/2007 12:00:00 AM,Personal Vehicle Passengers,4385658,5561626
US-Canada Border,12/01/2007 12:00:00 AM,Personal Vehicles,2175942,2654739
US-Canada Border,12/01/2007 12:00:00 AM,Trucks,434458,514005
US-Mexico Border,12/01/2007 12:00:00 AM,Bus Passengers,361001,243478
US-Mexico Border,12/01/2007 12:00:00 AM,Trucks,359609,400513
US-Canada Border,12/01/2007 12:00:00 AM,Truck Containers Full,351277,385023
US-Canada Border,12/01/2007 12:00:00 AM,Bus Passengers,254758,270878
US-Mexico Border,12/01/2007 12:00:00 AM,Truck Containers Full,224153,254642
US-Mexico Border,12/01/2007 12:00:00 AM,Truck Containers Empty,134428,141863
US-Canada Border,12/01/2007 12:00:00 AM,Rail Containers Full,109266,109207
US-Canada Border,12/01/2007 12:00:00 AM,Truck Containers Empty,80337,88610
US-Canada Border,12/01/2007 12:00:00 AM,Rail Containers Empty,45117,44164
US-Mexico Border,12/01/2007 12:00:00 AM,Rail Containers Empty,35151,31493
US-Mexico Border,12/01/2007 12:00:00 AM,Rail Containers Full,26295,28026
US-Mexico Border,12/01/2007 12:00:00 AM,Buses,23760,19493
US-Canada Border,12/01/2007 12:00:00 AM,Pedestrians,19993,47779
US-Canada Border,12/01/2007 12:00:00 AM,Train Passengers,13765,21605
US-Canada Border,12/01/2007 12:00:00 AM,Buses,8656,11264
US-Canada Border,12/01/2007 12:00:00 AM,Trains,2430,2522
US-Mexico Border,12/01/2007 12:00:00 AM,Train Passengers,1585,1041
US-Mexico Border,12/01/2007 12:00:00 AM,Trains,858,727
US-Mexico Border,12/01/2006 12:00:00 AM,Personal Vehicle Passengers,15815174,14088309
US-Mexico Border,12/01/2006 12:00:00 AM,Personal Vehicles,7455033,6541368
US-Mexico Border,12/01/2006 12:00:00 AM,Pedestrians,4664264,3685353
US-Canada Border,12/01/2006 12:00:00 AM,Personal Vehicle Passengers,4427650,5565842
US-Canada Border,12/01/2006 12:00:00 AM,Personal Vehicles,2244897,2656263
US-Canada Border,12/01/2006 12:00:00 AM,Trucks,470527,514166
US-Canada Border,12/01/2006 12:00:00 AM,Truck Containers Full,386579,385017
US-Mexico Border,12/01/2006 12:00:00 AM,Trucks,356786,400675
US-Mexico Border,12/01/2006 12:00:00 AM,Bus Passengers,313493,243217
US-Canada Border,12/01/2006 12:00:00 AM,Bus Passengers,221580,271061
US-Mexico Border,12/01/2006 12:00:00 AM,Truck Containers Full,220509,254769
US-Mexico Border,12/01/2006 12:00:00 AM,Truck Containers Empty,136176,141884
US-Canada Border,12/01/2006 12:00:00 AM,Rail Containers Full,110378,109203
US-Canada Border,12/01/2006 12:00:00 AM,Truck Containers Empty,71567,88674
US-Canada Border,12/01/2006 12:00:00 AM,Rail Containers Empty,40165,44179
US-Mexico Border,12/01/2006 12:00:00 AM,Rail Containers Empty,36424,31474
US-Mexico Border,12/01/2006 12:00:00 AM,Rail Containers Full,31129,28014
US-Mexico Border,12/01/2006 12:00:00 AM,Buses,24575,19474
US-Canada Border,12/01/2006 12:00:00 AM,Pedestrians,22663,47872
US-Canada Border,12/01/2006 12:00:00 AM,Train Passengers,13751,21634
US-Canada Border,12/01/2006 12:00:00 AM,Buses,8443,11275
US-Canada Border,12/01/2006 12:00:00 AM,Trains,2822,2521
US-Mexico Border,12/01/2006 12:00:00 AM,Train Passengers,1641,1039
US-Mexico Border,12/01/2006 12:00:00 AM,Trains,847,727
US-Mexico Border,12/01/2005 12:00:00 AM,Personal Vehicle Passengers,17017684,14077378
US-Mexico Border,12/01/2005 12:00:00 AM,Personal Vehicles,8010543,6535886
US-Canada Border,12/01/2005 12:00:00 AM,Personal Vehicle Passengers,4698646,5569077
US-Mexico Border,12/01/2005 12:00:00 AM,Pedestrians,4241702,3683277
US-Canada Border,12/01/2005 12:00:00 AM,Personal Vehicles,2232428,2657844
US-Canada Border,12/01/2005 12:00:00 AM,Trucks,501553,514213
US-Canada Border,12/01/2005 12:00:00 AM,Truck Containers Full,433899,384835
US-Mexico Border,12/01/2005 12:00:00 AM,Trucks,381580,400746
US-Mexico Border,12/01/2005 12:00:00 AM,Bus Passengers,283645,243066
US-Mexico Border,12/01/2005 12:00:00 AM,Truck Containers Full,242781,254814
US-Canada Border,12/01/2005 12:00:00 AM,Bus Passengers,212874,271278
US-Mexico Border,12/01/2005 12:00:00 AM,Truck Containers Empty,135546,141908
US-Canada Border,12/01/2005 12:00:00 AM,Rail Containers Full,120428,109161
US-Canada Border,12/01/2005 12:00:00 AM,Truck Containers Empty,75459,88723
US-Canada Border,12/01/2005 12:00:00 AM,Rail Containers Empty,38822,44199
US-Mexico Border,12/01/2005 12:00:00 AM,Rail Containers Empty,37319,31453
US-Mexico Border,12/01/2005 12:00:00 AM,Rail Containers Full,29308,28009
US-Canada Border,12/01/2005 12:00:00 AM,Pedestrians,24215,47961
US-Mexico Border,12/01/2005 12:00:00 AM,Buses,22946,19461
US-Canada Border,12/01/2005 12:00:00 AM,Train Passengers,15162,21658
US-Canada Border,12/01/2005 12:00:00 AM,Buses,8068,11287
US-Canada Border,12/01/2005 12:00:00 AM,Trains,2953,2520
US-Mexico Border,12/01/2005 12:00:00 AM,Train Passengers,1724,1036
US-Mexico Border,12/01/2005 12:00:00 AM,Trains,823,726
US-Mexico Border,12/01/2004 12:00:00 AM,Personal Vehicle Passengers,16991865,14066462
US-Mexico Border,12/01/2004 12:00:00 AM,Personal Vehicles,8074001,6530125
US-Mexico Border,12/01/2004 12:00:00 AM,Pedestrians,4519993,3680143
US-Canada Border,12/01/2004 12:00:00 AM,Personal Vehicle Passengers,4407985,5573426
US-Canada Border,12/01/2004 12:00:00 AM,Personal Vehicles,2210779,2659519
US-Canada Border,12/01/2004 12:00:00 AM,Trucks,502115,514259
US-Canada Border,12/01/2004 12:00:00 AM,Truck Containers Full,423289,384691
US-Mexico Border,12/01/2004 12:00:00 AM,Trucks,355965,400914
US-Mexico Border,12/01/2004 12:00:00 AM,Bus Passengers,292169,242883
US-Mexico Border,12/01/2004 12:00:00 AM,Truck Containers Full,220354,254943
US-Canada Border,12/01/2004 12:00:00 AM,Bus Passengers,201602,271539
US-Mexico Border,12/01/2004 12:00:00 AM,Truck Containers Empty,134507,141936
US-Canada Border,12/01/2004 12:00:00 AM,Rail Containers Full,119895,109121
US-Canada Border,12/01/2004 12:00:00 AM,Truck Containers Empty,72454,88784
US-Canada Border,12/01/2004 12:00:00 AM,Rail Containers Empty,37255,44225
US-Mexico Border,12/01/2004 12:00:00 AM,Rail Containers Empty,35645,31437
US-Mexico Border,12/01/2004 12:00:00 AM,Rail Containers Full,26466,28015
US-Canada Border,12/01/2004 12:00:00 AM,Pedestrians,24199,48050
US-Mexico Border,12/01/2004 12:00:00 AM,Buses,22942,19448
US-Canada Border,12/01/2004 12:00:00 AM,Train Passengers,12406,21693
US-Canada Border,12/01/2004 12:00:00 AM,Buses,8443,11297
US-Canada Border,12/01/2004 12:00:00 AM,Trains,2608,2519
US-Mexico Border,12/01/2004 12:00:00 AM,Train Passengers,1086,1036
US-Mexico Border,12/01/2004 12:00:00 AM,Trains,638,727
